1929	1273
2189	1283
2453	1323
2703	1293
2863	1279
3019	1299
3132	1339
3182	1373
3266	1436
3386	1559
3462	1653
3522	1763
3569	1879
3609	2039
3642	2146
3686	2269
3739	2396
3819	2519
3879	2632
3956	2756
4062	2896
3962	2966
3836	3039
3676	2889
3522	2752
3386	2652
3249	2559
3139	2476
3032	2386
2946	2349
2906	2349
2856	2399
2793	2479
2743	2586
2713	2672
2686	2752
2579	2766
2459	2799
2356	2826
2279	2836
2189	2826
2113	2802
2033	2766
1976	2719
1909	2656
1863	2592
1819	2519
1776	2442
1739	2359
1699	2266
1669	2172
1653	2082
1639	1983
1613	1873
1603	1769
1616	1659
1616	1549
1629	1493
1669	1466
1759	1396
1853	1323
1929	1273
