2902	1059
3027	1056
3185	1053
3216	1162
3236	1253
3262	1351
3293	1496
3327	1630
3347	1759
3370	1885
3387	1976
3390	2073
3387	2182
3385	2302
3382	2425
3373	2533
3365	2633
3362	2739
3362	2856
3313	2847
3253	2819
3162	2782
3070	2747
2990	2727
2899	2699
2865	2676
2796	2656
2742	2636
2693	2627
2696	2536
2705	2445
2705	2410
2722	2376
2736	2336
2728	2293
2713	2279
2699	2265
2693	2187
2690	2102
2688	2025
2682	1948
2682	1876
2690	1799
2713	1725
2742	1653
2765	1579
2802	1510
2836	1425
2850	1345
2870	1251
2882	1173
2888	1116
2902	1059
