2608	1302
2753	1322
2882	1339
2970	1348
3085	1351
3182	1342
3265	1325
3342	1319
3410	1319
3413	1402
3416	1476
3425	1562
3433	1659
3447	1748
3462	1850
3470	1928
3467	2008
3473	2087
3465	2167
3450	2245
3425	2347
3399	2433
3359	2513
3325	2579
3287	2639
3225	2724
3162	2704
3087	2693
3013	2684
2959	2670
2882	2659
2793	2647
2705	2636
2710	2576
2705	2513
2690	2433
2685	2362
2668	2293
2659	2219
2648	2133
2639	2056
2639	1933
2628	1910
2616	1796
2622	1719
2613	1636
2602	1565
2593	1508
2585	1462
2593	1416
2608	1302
