2896	1069
3049	1089
3162	1106
3179	1149
3186	1233
3206	1336
3222	1439
3256	1553
3292	1656
3329	1759
3372	1866
3429	1963
3509	2056
3582	2149
3659	2242
3759	2382
3726	2449
3702	2519
3686	2586
3659	2589
3632	2649
3592	2702
3549	2782
3516	2846
3486	2919
3462	2979
3379	2989
3322	3006
3249	3026
3196	3062
3139	3086
3082	3116
3019	3086
2956	3036
2873	2979
2816	2929
2806	2879
2813	2809
2836	2706
2863	2566
2879	2446
2906	2336
2926	2212
2936	2106
2939	2009
2939	1893
2946	1803
2939	1689
2939	1609
2926	1516
2923	1416
2906	1313
2899	1246
2896	1159
2896	1069
