2105	2373
2139	2325
2299	2085
2413	1913
2522	1770
2653	1610
2742	1491
2848	1336
2902	1239
2945	1199
3027	1222
3130	1248
3233	1262
3267	1339
3299	1419
3345	1502
3405	1579
3473	1650
3550	1708
3610	1759
3685	1816
3753	1859
3830	1899
3842	1942
3847	2056
3847	2173
3850	2270
3864	2399
3793	2442
3725	2482
3693	2519
3619	2482
3547	2465
3470	2467
3370	2485
3299	2499
3202	2505
3090	2507
2979	2510
2922	2516
2845	2524
2742	2536
2693	2516
2645	2507
2576	2505
2425	2507
2293	2516
2219	2519
2185	2467
2156	2433
2105	2373
